# elapsed_milliseconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m
72327,24.50,1039.10,25.06,0.26,-212.90
73402,24.51,1039.30,25.06,0.26,-214.54
74477,24.51,1038.70,25.06,0.25,-209.64
75552,24.51,1038.60,25.06,0.25,-208.83
76630,24.52,1039.10,25.06,0.26,-212.90
77705,24.53,1038.90,25.06,0.26,-211.27
78780,24.54,1039.00,25.05,0.26,-212.09
79855,24.54,1038.90,25.05,0.26,-211.27
80930,24.55,1038.90,25.05,0.26,-211.27
82005,24.56,1039.20,25.05,0.26,-213.72
83080,24.56,1039.00,25.05,0.26,-212.09
84155,24.56,1039.30,25.05,0.26,-214.54
85230,24.56,1039.20,25.05,0.26,-213.72
86305,24.56,1039.20,25.05,0.26,-213.72
87380,24.57,1039.00,25.05,0.26,-212.09
88455,24.56,1038.80,25.05,0.26,-210.46
89533,24.57,1039.30,25.05,0.26,-214.54
90608,24.57,1038.90,25.05,0.26,-211.27
91683,24.57,1039.70,25.05,0.26,-217.79
92758,24.58,1039.00,25.05,0.26,-212.09
93833,24.59,1038.80,25.05,0.26,-210.46
94908,24.59,1039.30,25.05,0.26,-214.54
95983,24.60,1039.00,25.05,0.26,-212.09
97058,24.61,1038.80,25.05,0.26,-210.46
98133,24.61,1039.20,25.05,0.26,-213.72
99208,24.60,1039.00,25.05,0.26,-212.09
100283,24.60,1038.80,25.04,0.26,-210.46
101358,24.59,1038.90,25.04,0.26,-211.27
102433,24.60,1038.80,25.05,0.26,-210.46
103511,24.60,1038.80,25.05,0.26,-210.46
104586,24.59,1038.80,25.05,0.26,-210.46
105661,24.59,1038.80,25.05,0.26,-210.46
106736,24.59,1038.70,25.05,0.25,-209.64
107811,24.59,1038.90,25.04,0.26,-211.27
108886,24.60,1039.00,25.04,0.26,-212.09
109961,24.60,1039.20,25.04,0.26,-213.72
111036,24.60,1038.40,25.04,0.25,-207.20
112111,24.58,1039.50,25.04,0.26,-216.17
113186,24.57,1039.10,25.04,0.26,-212.90
114261,24.55,1038.50,25.04,0.25,-208.01
115336,24.53,1038.40,25.03,0.25,-207.20
116411,24.53,1039.10,25.03,0.26,-212.90
117489,24.53,1039.50,25.03,0.26,-216.17
118564,24.52,1038.60,25.03,0.25,-208.83
119639,24.52,1038.80,25.03,0.26,-210.46
120726,24.51,1039.20,25.02,0.26,-213.72
121801,24.51,1038.70,25.03,0.25,-209.64
122876,24.50,1038.60,25.02,0.25,-208.83
123951,24.50,1039.20,25.02,0.26,-213.72
125026,24.49,1039.20,25.01,0.26,-213.72
126101,24.50,1038.70,25.02,0.25,-209.64
127176,24.50,1038.70,25.01,0.25,-209.64
128251,24.49,1038.60,25.01,0.25,-208.83
129326,24.49,1038.50,25.01,0.25,-208.01
130404,24.49,1039.30,25.01,0.26,-214.54
131479,24.49,1038.60,25.01,0.25,-208.83
132554,24.48,1039.00,25.00,0.26,-212.09
133629,24.47,1039.30,25.00,0.26,-214.54
134704,24.47,1039.00,25.00,0.26,-212.09
135779,24.46,1038.70,25.00,0.25,-209.64
136854,24.46,1039.10,25.00,0.26,-212.90
138003,24.45,1038.40,24.99,0.25,-207.20
139077,24.45,1039.00,24.99,0.26,-212.09
140151,24.45,1039.10,24.99,0.26,-212.90
141226,24.44,1039.20,24.99,0.26,-213.72
142301,24.42,1038.70,24.98,0.25,-209.64
143376,24.41,1039.00,24.98,0.26,-212.09
144453,24.40,1038.90,24.98,0.26,-211.27
145528,24.40,1039.10,24.98,0.26,-212.90
146603,24.41,1039.10,24.98,0.26,-212.90
147678,24.41,1039.00,24.97,0.26,-212.09
148753,24.41,1038.70,24.97,0.25,-209.64
149828,24.41,1038.60,24.97,0.25,-208.83
150903,24.37,1038.70,24.97,0.25,-209.64
151978,24.35,1039.00,24.97,0.26,-212.09
153053,24.34,1038.90,24.96,0.26,-211.27
154128,24.34,1039.10,24.96,0.26,-212.90
155203,24.34,1039.20,24.96,0.26,-213.72
